contest_number,image_description
629,A woman is climbing a rock climbing wall. She sees a face on the wall.
558,A man is sitting in a playpen. He's holding some kind of communicator.
35,A man is standing in a living room looking just slightly surprised at a woman on a couch being suffocated by a snake. The snake is wound up very tightly around her.
561,Two dogs combine their cone collar together. It makes it look like their heads are attached.
685,Two backpackers are startled by a large honey bottle shaped like a bear. The bear looks angry like it caught then doing something.
91,A motorcycle riding police officer is writing a ticket to give to a caveman. The caveman is angry and standing on the road next to a wheel made out of stone.
150,A man and a woman are standing inside a wrecked house. The man is about to shoot himself with a gun.
721,Two people are playing in a sandbox. They've built a giant tower.
757,"A couple is having a picnic in a park, along with others. Some threatening storm clouds are approaching."
180,Two men are sitting in a life raft talking. There is a skeleton dressed as a Mexican waitress with them.
748,Two chefs are inside a giant creature. They can see the ribs lining the walls and ceiling.
194,"A man, dying of thirst, is approached by another man carrying a suitcase and wearing a suit. The suit man is perfectly fine but the other man is surprised to see him."
700,A centaur is inside a store. He is purchasing some things from a clerk.
215,Two giant boxers are in a ring. A ref is between them.
349,A man is shaking violently. A waitress pours him another cup of coffee. A man eating a sandwich stares at them at the diner.
730,Two scientists are conferring in a lab. One scientist has a mouse head.
361,"A lady is laying in a hospital bed. There are several people surrounding her, and one is handing her a tiny car."
6,A man and a woman are talking on the street. The man is shaped like the number 6
564,A woman is talking to a man sitting at a desk inside an office. A bunch of owls are perched on the desk.
139,Two lions are talking in a field. There is a bunch of doctor's instruments strewn on the ground.
521,A couple is walking in the rain. The man is carrying a huge umbrella that dwarfs both of them.
176,A judge is looking over a courtroom. All the furniture and other debris are strewn about.
441,Two fish are speaking with one another underwater. One of the fish is just bones.
19,"A dog and a woman are sitting next to each other on a couch, facing another man with a newspaper open in front of him.  The dog appears to have a book open in front of him."
416,A man is sitting on a couch talking to someone who has the appearance of a doctor or a psychologist. Next to the man on the couch is a small creature with wings that looks like cupid. Cupid is very angry and has his arms crossed. The man has been shot with about a dozen arrows to the chest. He is gesturing to the doctor in an effort to explain something.
514,Some cowboys are riding through the desert. They are all on rocking horses.
70,"Two people are sitting in chairs in a room facing a television. One of the people is an older ""grandma"" aged woman. The other person has lots of hair growing all around their face/head and on their hands/arms. You can't see the person's face. The woman appears to be gesturing to something happening on the TV."
750,A bunch of sheep are gathered in front of some sheep dogs. The sheep dogs are talking to each other. The dogs are huge.
161,A man is giving a job interview in his office. The prospetive employee is a giant lobster.
681,"A couple is walking down the street. The woman looks upset, and the man has colored claws."
550,A man is talking to another man in an office. There are many chairs in a line in front of him.
613,"A policeman is interrogating a suspect at the station. Another cop is standing to the side in clown makeup, with a balloon animal."
537,Two women are sitting in a living room chatting and drinking from cups. A man in the other room considers a giant donut.
229,A man is speaking to the Supreme Court. But their booths are all bed.
315,There is a green giant rampaging through the city. A man and woman observe him from a nearby building.
201,A man has his office set up on the roof of a building. He is talking on a phone.
451,Three pigs are in front of a trough. One pig is about to eat from it.
122,Two men are in a courtroom. A judge is addressing a bailiff.
314,There is a bar or restaurant and several people are sitting at the counter. There are 2 people that seem like regular humans and then there are 4 superheros or villains.
517,A lawyer is with his client in a courtroom. They're having a conversation.
131,"A man and woman are staring out their window. It is raining safe,s which are crushing things."
370,A group of people are crowded around in a living room talking to one another. A man in the foreground introduces two individuals one appears to be a regular human male the other appears to be an animal.
114,A woman is standing on the beach. In front of her are two lifeguard chairs.
177,Three men have another man tied up in a room. His feet are in buckets.
536,A psychiastrist is in her office. She's talking to a car that is on her couch.
557,Adam and Eve are in the garden of Eden. Eve is offering Adam a pie. The serpent is in a nearby tree.
210,"A hammock is set up between two pillars. A man is relaxing on it, while a man in a suit waits nearby."
444,"A man and his boy are sitting in a boat on a lake. They're fishing, and the boy has caught a businessman."
438,A man is sitting on his couch watching TV. A cat is looking in the window.
524,A knight is in the countryside. He is dueling with a dragon.
360,A doctor is walking down a crowded street. He's listening to the heart of a man beside him with a stethoscope.
374,A number people are eating dinner at a hall. There is a man on stage on a podium talking about a man in a casket next to him.
118,Two angels are sitting on rocks on top of a cloud. One of them looks worried.
332,A man is sitting on the beach watching another man struggle in the water. He is being lifted by a giant tentacle.
405,There is a gigantic roasted chicken on a deli counter. A woman stares at it.
33,A man and woman are in a bedroom together and they have a few suitcases lying around. One suitcase on the bed is wide open and it is full of water and fish.
10,A clown is sitting at a table outside a restaurant. A woman looks to be paying his bill.
136,A man is sitting at a table with his hand on a phone. There is a vulture perched in front of him.
498,Two men are startled in the office. A hand with a sword is bursting through the desk.
573,"A man is laying in a hospital bed, with a beverage strapped to his head, with IVs running into his arms. A woman sits in a chair and glares at him."
367,A woman and a man are observing a corpse in a casket. There is an IV stand nearby.
44,"There is a town that looks like a war zone. Buildings are destroyed, a tank is rolling by, and helicopters are in the distance. Two soldiers are hiding by a wall and trying to stay safe. With the soldiers is one mime also hiding out."
607,Death is laying in a coffin in a funeral home. Two people look on and are commenting on the situation.
746,A man is standing atop a pile of rocks. A woman is on the ground looking up at him.
391,A woman is reading a book in the living room. Her dog is looking at a naked man climbing in through the window.
54,"Two men with tattered clothing are stranded on the desert next to a skull. One of the men is happy and is staring at his watch, while the other man is distraught."
5,A man is carrying a surfboard through the room. A woman at a desk stares at him.
110,A woman is pushing what appears to be a crash test dummy in a wheelchair down a hospital corridor.  A pair of elderly gentlemen are walking past them heading in the other direction.
266,Several people are ice skating on a rink. At the middle of the rink is a lifeguard tower with a lifeguard sitting up top and observing the skaters.
93,Some grim reapers are having a meeting. One man in a suit is talking to them.
345,There is a man at a desk writing something down. Another man is laying behind him in a coffin.
411,A man is standing in a huge office. Another man talks down at him from a desk on a dais.
462,Some cavemen are standing around in a cave. There is a caveman sitting on a rock with a club.
75,An office meeting is being held in a room in a high rise. The leader is giving a speech on a microphone but the desk he and his colleagues are using is the top of a grand piano.
610,A woman and a chef are in a prison. They're speaking on the phone through a barrier.
175,"One guy is introducing a dressed up man to the other man. The dressed up man has scuba gear, camping gear, sword, camera etc on him."
637,"A man is raking leaves in his yard. His yard is roped off, and another man stands on the other side."
103,"A bird wearing a speedo is balancing on a tree limb with wings outstretched.  A couple are standing below the bird looking at it, with an outstretched book in the man's hands"
706,Two explorers are hiking through nature. They come across two subway cars in the brush.
390,A couple is eating at a restaurant. The waiter is playing a giant tuba.
464,"There are three magicians in a room. One is holding a hat with rabbit, other is trying to cut through a box with girl in it and third one is holding cards in his hand. All of them are looking towards the door with surprise look where a man and a woman is standing. Woman is in shock and man appears to be explaining what is going on."
42,A person is sitting at a desk holding a phone to their ear.  The person appears to be sitting on some strange metal desk chair
341,Some ducks are flying over a farm. There is a turtle flying with them.
4,Two monsters are rampaging through a city. They're eating the buildings.
105,A couple are relaxing beside their pool while their pool water goes wild. The water forms a large wave like a tsunami crashing into them.
609,A man and a woman are on the subway. They're looking at a big sandwich on the track.
551,People are in a boat paddling. A huge wave with a scary face and arms tries to get them. The Statue of Liberty is in the background.
586,Two people are walking a dog outside. A giant vaccum cleaner is in the air in front of them.
363,Two men are standing in front of a clerk at a desk. They're holding signs that say in and out.
663,Two people are opening a pizza box. Inside are a tiny couple sitting at a table.
414,People are at an electronics store. The man is carrying a huge TV controller. He is showing it to some customers.
646,"Two hikers are high up on a mountain. It is one man and one woman and they are having a conversation. A yeti, or bigfoot, is behind them making his way slowly up the mountain but they don't seem to notice it."
729,"In a throne room, two kings are in a hammock. A woman waits in another room."
212,A man is in a psychiatrist's office speaking to him. he is riding on a coin-op rocket ride.
409,"Some mobsters are on a dock. They have pushed a man with cement shoes over the edge, but he is escaping."
37,Three members of congress are sitting in a courtroom together and one of them seems to be speaking into his microphone. Down below them is a desk and seat. In the seat is just an empty suit and shoes with no person inside.
431,A man is wearing a camera to their head. People are with him and are casually ignoring it.
493,Some skydivers are parachuting out of a plane. There are two groups of them.
316,Two men are riding their bicycles in the clouds. They seem to be angels with halos.
50,A woman is sitting in a chair and reading a newspaper while looking up at a man. The man is wearing a suit and holding a briefcase. He seems to be wrapped up in what looks like a layer of tree bark.
419,"A patient is sitting in an examination room. The doctor is entering, carrying a needle."
379,Two people are sitting in a living room inside a nest. They're up in a tree.
456,A man is sleeping in bed with a woman but he still is in a suit and tie. Along with that is a podium that is on top of the man.
504,A woman is entering a room. She is carrying a suitcase and a man.
162,Two men are talking. One man has a leash with a dog attached. The other one has a leash with no dog.
270,A man in a suit is parachuting from the sky. As he is parachuting he seems to be on the phone and has a laptop on his lap. He also has a briefcase that has opened up and papers are flying everywhere.
329,Two people are looking at a dinosaur skeleton in a museum. The skeleton has a top hat and cane.
311,There is a hippo in the middle of a living room. An angry woman is on the sofa and a man is in the chair.
43,A lawyer is standing in front of the judge in court. He is presenting a clown and a dog.
634,"A man is giving a hot dog to a woman outside a pyramid. On top, there is a vendor."
26,Some musicians are on stage. A monster truck has busted in and flattened their chairs.
133,Cave people are having a get together in a cave. A group of them is looking at drawings on the wall. One couple looks to have just arrived and is talking to someone with a spear in their body. The artwork features a figure with a that is running with a spear through their body.
553,A man and woman are sitting on what looks to be stones in a city that appears to be destroyed. There is smoke and damaged building in the background. Both are looking at each other with confused look on their face.
684,Aliens are having a meeting inside a room with a man as a host. The aliens look to be from different homes and planets.
731,A therapist sits in a chair in their office. They are holding a pen and notepad and are looking at a woman who is in the middle of digging a hole in the floor.
664,"A lawyer, a judge, and a witness are in a courtroom. The judge is saying something to the witness."
222,A man is sitting in a living room on a couch reading a book. Next to him in an armchair is a woman who is a mermaid. She is looking concerned and he is glancing at her as if he'd like to hide.
677,A man is sleepwalking in a kitchen. His cat is watching him from the counter.
271,A man is standing on a hill. A cloud with Groucho glasses and a hand reaching out of it is handing him a tablet.
672,"A man is sitting in an office on his computer. He's speaking with a rat man, who is at his computer."
239,"A lawyer is in court, and holding a pair of shorts in front of the judge and witness. The witness is in a pool."
52,A pair of men on a rowboat are rowing through a bay.  An upside-down sperm whale is breaching the surface of the water in front of them
403,An elephant is pointing his cane at a little elephant in a living room. The little one is on a laptop.
617,A bunch of naked people are standing around looking at a TV. A devil is hanging out in the background.
439,Two trains are at a bar. They look sad and are drinking. A bartender is on the phone.
39,A bunch of people are seated on a plane. One of the passengers appears to be shirtless or nude.
84,A doctor is washing his hands for surgery. There is a man halfway through the door with his torso stuck.
496,"A man is spraying a toaster with a hose in a driveway, with a wash bucket nearby. His neighbor is getting his attention from the other side of the fence."
119,Two women are observing a large cradle in a bedroom. There is a man in a suit in it sleeping and sucking his thumb.
21,"Some women are coming into the house. A hunter is in the chair watching a moose on TV, and pointing his gun at it."
66,A man and woman are sitting down in a living room. They are reading off of tablet.s
758,"A woman is looking out her front door. There are lots of people on a sidewalk, and there's a man behind a desk in front of her house."
132,There is a Viking at a table with a sword. He is trying to cut some bread. A woman is in the back in a kitchen.
196,"Two scientists are in a lab. They are observing some mice in a tank, and all of them are wearing lab coats and carrying clipboards as well."
543,A man and a woman are facing each other in a chair. An elephant is in the room next to them.
568,"A woman is at a party holding a drink. She is addressing two other people, who are tied up and standing in buckets."
458,A man is in an office behind a desk. He is addressing the Sphinx.
9,Two men are talking at a bar. They are wearing suits and each have a drink.
724,There is an author signing at a bookstore. There is also a line of people with a big lizard in front.
751,Four people and a dog are standing or walking inside bubbles on a sidewalk in a city next to an empty road. They all look very happy and content.
544,Two men are talking. Both have desks on their heads with tiny men working on computers.
309,Some people are on a roller coaster ride. Some of them are screaming.
448,"A person is sitting at the desk in an office. They are on the phone and looking out the window, observing the stairway to heaven."
632,"There is a woman wearing a badge, with her arms at her side, and an irritated expression, staring down at a seated scraggly-groomed man wearing a shirt and tie as well as the same badge. The man appears to be talking. On a table beside him is a microphone. In a large window behind him is a serious of decreasingly smaller dolls, in what's implied to be a criminal identification setup."
408,Superman is in the doctor's office. The doctor is listening to his heartbeat with a stethoscope.
147,A killer whale is inside a courtroom. It looks to be the defendant.
428,A women and an empty suit that is propped up to look like someone is wearing it are sitting on a couch. Another man is slouching in an arm chair beside a coffee table that has pictures and a lamp sitting on top. The man and the women don't look happy. There is a scared looking dog hiding beside the chair and beer cans next to the man.
600,There is a dog on a spaceship. He is surrounded by aliens. The aliens are staring at him.
1,"Two scientists are talking in a lab, with a cage full of mice off to the left. One of the scientists is dressed like a rat."
149,A woman in a bathrobe is standing at her front door. There is a man with a deployed parachute talking to her.
99,"A cowboy is on a table in a doctor's office. He has been shot by arrows, and the doctor is speaking to him."
248,A couple is laying in bed together. The bed is shaped like a race car.
74,"Two surprised men in suits open a door into a room that has nothing but sand in it. There is a hand sticking out of the sand, showing that the person is drowning."
368,Two people are riding motorcycles down the road. One of the riders is naked.
690,An usher is opening the elevator door. An astronaut is about to get off.
187,The angel of death is descending from heaven. He is coming across a crook with a stolen bag of money.
397,People are playing a baseball game. The grim reaper is playing catch. Two men stare at him.
468,A man is flying a taxi through space. he has an alien passenger.
649,Two women are sitting in a living room talking. There are train tracks going through the room and into the next one.
45,"A man and woman are walking together down a hallway, possibly inside of a school. All around them there are children walking on the walls and on the ceilings."
579,A man and a woman are sitting in their living room. A cat is lounging between them on his own chair.
38,There are people in a living room watching a dog. A man is playing a guitar.
471,People are ice fishing. A bunch of sharks are in the ice holes around them.
699,A psychiatrist is in her office. Three people are on stacked couches beside her.
107,A man is sitting at a table and looking over at a dog. On the other side of the room a woman seems to be teaching math to a cat. The cat is sitting on a stool and paying attention.
163,"A woman is sitting at a table in a restaurant. She is reading a menu. There is a podium in front of her, with the waiter speaking into a mic."
317,A man is sitting in an easy chair. Behind him is a black bed.
420,A man and a woman are playing ping pong. A panel of judges looks on.
435,Some people are standing on the street. The man's car is upside down and missing the top.
87,A man is in the forest. He has just finished cutting down a tree. The inside is hollow and there is another man inside of it.
56,There are several doctors wearing gowns and masks in an operating room. There is a large missile or bomb on the table. The doctors are operating on the bomb.
710,Two explorers are observing a tree. A bird is sitting in a nest playing music.
576,"A woman is standing in front of a tree. There is a beehive attached to it, with a man's face coming out of it."
260,"Three people are standing in line at the bank. The bank teller is a traditional pirate with a hook hand, eye patch, and a parrot."
643,A man is in a concert hall. He is trying to play the piano.
387,A man wearing suit is sitting at the bar with a paper bag on his face with two holes for his eyes. He is starring at a woman sitting next to him who looks to be smiling and having good time.
460,Four birds are in an office. They're perched around a table.
676,There is a caveman cooking a giant leg on a grill. His family watches him from their cave.
548,"There is a rocket on the ground, still smoking. A policeman is there and is writing the driver a ticket."
116,Two aliens are talking in a hallway. One of them is holding up a picture of another alien on an island.
69,A caveman is sitting in his cave. A woman has bags packed and is leaving.
94,The image is showing what appears to be heaven and the gates leading into heaven. Two angels are off to the side standing together and they are looking at a third angel. That third angel is flying through the gates while carrying a barbecue and golf clubs.
669,A baby in a suit is giving a speech in his crib as his parents look on. the mother looks happy and the father doesn't have an expression on his face.
76,"Two Indians are crouched down beside some rocks and one has a bow and arrow aimed at an army base. In the distance the army base has tall wooden walls and is flying a flag, probably the USA flag."
238,Three cavemen are sitting in a cave around a fire. One of them is juggling torches.
761,Death is giving some food to a man. He is saying something to a woman off to the side.
453,A matador and a bull are in an arena. They are dancing together.
640,There is a mouse riding on a cat with sunglasses. Two other mice are nearby.
578,"A couple is eating dinner at a restaurant. A waiter runs in with a pizza, being chased by press."
575,Two soldiers are on horseback in a field. A bunch of businessmen are trailing along behind them.
694,A man is shoveling snow. The woman behind him is playing the guitar. The man looks annoyed.
633,"Some people are at a playground. The adults are going down the slides, and one of them is talking to a child."
682,Two leaves are on a branch. One has broken free while the other is still fastened tight.
590,A giant lizard is drawing on a cave wall. Two cavemen are spying on him.
615,Two men are fishing. One man caught a chandelier.
18,A man is in his office. All the furniture and the man himself are floating in the air.
747,"Two women are sitting outside talking. There is a man waving to them from a fence, suspended upside down in the air."
95,There are three man in the room of an office building. One man is carefully trying to place files inside a filing cabinet. There is a tiger on a leash sitting on top of the filing cabinet.
662,There is a wedding taking place. There are three bridesmaids and two grooms. The couple is dressed like Vikings.
666,A psychiatrist is talking to a patient. He is laying on a red couch in the office.
342,A pig is standing in front of a sitting woman at the complaint department window and he looks upset.
713,"A man and a clown are standing in front of a car. They have the hood open, and there are more clowns inside the car."
671,Two woolly mammoths are talking in a cave. One of them has cavemen on top in a battle.
510,A man is relaxing on a city street. Others are going about their business and stepping on him as they pass.
604,A caveman is drawing a picture of an elephant on his cave wall. The elephant is standing by as a model.
63,Two women are sitting on a couch having tea looking unamused at a naked man in the middle of the room. The naked man is posing like a statue or is in a bowling stance since he has a ball in his hand.
652,Two men are stuck on a tiny island. They're observing another island a short distance away.
200,A humanistic looking animal is at a reception desk. The door beyond is open with God sitting down and waiting for the next person to come in.
603,An explorer gets to the top of a cliff and finds a wise man. There are people sitting at tables in the background.
126,A woman is standing inside a house. A man is peeking in from outside the window.
123,there are cows waiting in a waiting room with their legs crossed. Another cow is acting as a receptionist for the room.
520,A psychiatrist is her office. There is a banana on her couch.
202,"One a beach, a woman is sunbathing. There is a large box in front of her with a man inside."
195,A woman is standing in front of an open door in her bathrobe. A man is being escorted in by tiny angels. His hands seem to be emitting flames.
744,Two dogs are barking at one another. Both are wearing cones that stop them from scratching.
455,A woman is laying on a sofa while a man dressed up with tie is standing next to the window and a piston in his hand. There is a big hole in the window and three projectiles are coming in at fast speed.
73,A man is sitting at an office desk with a phone pressed up against his ear.  Another person is curled up under the man's office chair with his hands in a protective posture around himself
452,A man is interviewing a woman for a job in an office. Another man waits in a chair nearby.
68,"A car manufacturing factory is operating. As cars are moving down the line, a giant nozzle from the ceiling is spraying each car with a giant glob of cream on top."
64,There is a boxer in the corner of the ring. The referee is standing in front of him and another man with a foam finger is there too.
389,A man is eating dinner. The fish on the plate is talking to him. He stares at it.
366,Some men are in a barber shop. There is a large hole in the ceiling and a spring where the barber's chair should be.
216,A man is in bed. A fairy woman comes by with a toilet plunger and a bottle.
77,A man and boy are looking at a very tall woman outside their window. The man is excited.
323,There is a peacock showing his plumage. Other peacocks are looking on.
174,There is a man sitting in a tree. A bird is next to him with a worm in its mouth.
98,A man is in his office looking through a telescope. Another man has entered through the door beside him.
424,A man and woman are in the desert. They're doing their laundry as the sun beats down on them.
506,A knight and an executioner are standing by a guillotine. There is a man waiting to be beheaded.
204,"Some executives are around a table, with a giant mouse. A huge piece of cheese is in the center."
410,A beaver chews on a tree down to it having no middle but it still doesn't fall. Another beaver ignores what is happening.
752,Two people are walking down a path. A number of giant books have surrounded them.
188,A man is giving a piano concert and is sitting at the keys of an open piano. Inside the open piano is water and lots of dead fish floating on top of the water.
154,Four people dressed in business suits stand at the end of a conference table holding sticks with marshmallows on the ends. There is a fire engulfing the end of the table and the people are roasting their marshmallows over the fire.
429,A man is in bed. He is on the phone. A tiny man is playing the piano on the floor.
502,Two people are looking in on a cemetery. There is a grave that has the likeness of a man's head in the distance.
328,Two headless insects are walking down the street. They're passing a Cucina.
433,"A man in a woman are sitting in a chair upside down, hanging from the ceiling. There is a messy room below them."
135,"A man and a woman are greeting their neighbors and letting them in. The neighbors are carrying a huge, lit bomb into the house."
134,Two people are in bed. They are both wearing hazmat suits and one is waking up the other.
14,Several people in suits are walking down a side walk in front of some shops.  One of them appears to be a wolf man.
169,"A business man is walking down the street. Next to him is another man, also with a briefcase."
621,A knight is standing in front of some mirrors. A man in a suit stands  behind him.
262,A man is sitting at a desk in an office. A secretary is showing in a unicorn.
655,A man is debating with Earth on a stage. They each have a podium.
